source,galaxy,log_gobs_a0,log_gbar_a0,upsilon_dyn,gc_over_a0,upsilon_d,v_flat_kms,rs_tanh_kpc,host,sigma_kms,rh_pc,g_obs_a0,g_bar_a0,g_obs_SI,g_bar_SI,M_bar_Msun,log_Mbar,log_sigma,log_rh,Mdyn_Msun,log_Mdyn,gc_obs_a0,log_gc,gc_exact_a0,log_gc_exact,gc_tautological_a0,log_gc_tauto,physical_resid_dex,gc_D_pred,D_resid,gc_Bern_pred,Bern_resid
dSph,Fornax,-0.806239,-1.34526,3.4595610588249888,0.387998,,,,MW,11.7,709.831,0.1562287651266992,0.04515855117751874,1.8747451815203905e-11,5.419026141302249e-12,19588538.21742462,7.292002028246239,1.0681858617461617,2.851154962093782,56473100.293060005,7.751841630542063,0.540482952100644,-0.2672180000000002,0.38799560041776093,-0.41117319895507654,0.06005361940279977,-1.2214608127524267,0.9542428127524265,1.2755059340494292,-0.37290048342321214,1.1506711356020938,-0.32816921902417057
dSph,Leo IV,-0.477884,-3.31096,680.888501350869,226.232,,,,MW,9.2,206.065,0.3327484184851177,0.0004886973679610562,3.992981021821413e-11,5.864368415532675e-14,17864.899232742922,4.25200057090022,0.9637878273455552,2.314004233420773,10136658.909287266,7.005894833067841,226.56457198920359,2.355192,226.23186429548534,2.3545537743873672,25.17378431967847,1.4009485069911665,0.9542434930088337,117.86435486714159,0.28380951657678777,106.32887503032676,0.3285407809758296
dSph,Canes Venatici II,-0.201795,-2.78688,384.6670616128207,241.082,,,,MW,7.6,74.4674,0.6283548911458616,0.0016335032391682134,7.54025869375034e-11,1.960203887001856e-13,7798.381654387986,3.892004485832565,0.8808135922807914,1.8719661908869452,2499817.5943234693,6.397908320404485,241.7074296271225,2.38329,241.07921086121033,2.3821597611964767,26.856391040562855,1.4290476517997663,0.9542423482002338,35.261638066496985,0.835987516576788,31.810553000213424,0.8807187809758297
dSph,Canes Venatici (I),-1.08016,-3.0661,96.81440929720404,7.96646,,,,Unknown,7.61084,564.383,0.08314573944451649,0.0008588157491027288,9.977488733341979e-12,1.0305788989232746e-13,235504.90209551406,5.371999951511089,0.881432592017927,2.7515739237262076,19000019.76433833,7.278754052718019,8.049705649900103,0.90578,7.96663147804896,0.9012747279536326,0.8943925748048625,-0.04847181493021563,0.9542518149302157,67.06910074737121,-0.9207424834232121,60.50499355638289,-0.8760112190241705
dSph,Leo II,-0.409935,-1.57506,14.625980834481378,5.30415,,,,MW,9.2,176.22,0.38910337697274344,0.026603574924384938,4.669240523672921e-11,3.1924289909261924e-12,711217.604253586,5.852002497871562,0.9637878273455552,2.2460551969064437,8668536.786909966,6.937945796553512,5.691018534235328,0.7551899999999999,5.3041315659762684,0.7246142879587173,0.6323340669412181,-0.19905341998017528,0.9542434199801753,2.165122550774318,0.419707516576788,1.953220253791967,0.4644387809758296
dSph,Leo I,-0.563919,-1.00303,2.748596568735368,0.485468,,,,MW,9.2,251.211,0.2729486810264273,0.09930474487640478,3.2753841723171275e-11,1.1916569385168574e-11,5395098.879631261,6.731999408700988,0.9637878273455552,2.400038652321157,12357461.098493017,7.091929251968225,0.7502258081100823,-0.12480799999999981,0.4854685661955108,-0.3138388851582205,0.0833584574095141,-1.079050330809601,0.9542423308096013,0.5800327071147433,0.11173951657678804,0.5232644364602491,0.15647078097582962
dSph,Andromeda IX,-0.786739,-3.25474,293.76564161576164,47.8391,,,,M31,10.6,557.051,0.1634033665778208,0.0005562371612931798,1.96084039893385e-11,6.674845935518157e-14,148594.25552765664,5.172002020455093,1.0253058652647702,2.745894958198209,36376560.5592069,7.560821633683707,48.00229482490902,1.681262,47.838937811400825,1.6797815282594395,5.333584857411372,0.7270192091131543,0.9542427908868457,103.55295188492515,-0.33390048342321177,93.41814064485426,-0.28916921902417037
dSph,NGC 205,0.226092,0.0558711,1.4798609147741906,0.896672,,,,M31,35.0,589.642,1.68303055284762,1.1372896844866198,2.019636663417144e-10,1.364747621383944e-10,340408209.50184107,8.532000025262011,1.5440680443502757,2.7705884106016683,419797109.811937,8.623039444258177,2.490651133529991,0.3963129,0.8966740261830235,-0.04736541019952951,0.27673871540152517,-0.5579300793517427,0.9542429793517426,0.050646726850425115,1.691761516576788,0.045689890688700864,1.7364927809758297
dSph,Andromeda I,-0.868088,-1.97744,12.863288198570554,1.60825,,,,M31,10.6,671.806,0.13549148415431347,0.01053319198502993,1.6258978098517617e-11,1.2639830382035916e-12,4092605.2836796828,6.611999860602729,1.0253058652647702,2.8272438782720273,43870294.897663854,7.642170553757525,1.7428660091289903,0.2412640000000003,1.6082520036031858,0.20635410112837677,0.1936517245728737,-0.7129786310344816,0.9542426310344818,5.468427811993054,-0.49659848342321183,4.933228354655601,-0.4518672190241703
dSph,Andromeda III,-0.720895,-2.36305,43.86872376162776,8.15208,,,,M31,10.6,478.686,0.19015379619133846,0.0043346097147614554,2.2818455542960616e-11,5.201531657713747e-13,855073.7142080207,5.932003556007499,1.0253058652647702,2.680050725974412,31259167.05623814,7.49497740145991,8.341804357342694,0.92126,8.1520117690244,0.9112647979879019,0.9268675413729511,-0.03298232643925217,0.9542423264392521,13.288393601814708,-0.20221248342321196,11.987847761384993,-0.15748121902417034
dSph,Andromeda V,-0.468094,-2.35902,77.79039916766529,26.1348,,,,M31,11.5,314.799,0.3403345187046991,0.004375019569846405,4.084014224456389e-11,5.250023483815687e-13,373249.1198092386,5.571998792251205,1.0606978403536116,2.4980333440962657,24196021.94684264,7.383743969759447,26.47475806057379,1.422832,26.134788123781433,1.4172189835978957,2.9416455223199995,0.4685903376724072,0.9542416623275929,13.16565539431911,0.3033895165767879,11.877122041628953,0.34812078097582955
