galaxy,R_kpc,Vobs_kms,log_gobs_a0,log_gbar_a0
F571-V1,1.95,32.0,-0.8482696012797493,-1.320349460638999
F571-V1,3.88,57.6,-0.6365217053048264,-1.2225540013506229
F571-V1,5.83,70.9,-0.6329110309499243,-1.340433345203163
F571-V1,7.78,77.0,-0.6865330932017685,-1.383898027616487
F571-V1,9.72,82.5,-0.7232933143834677,-1.4159162022969776
F571-V1,11.66,84.3,-0.7835783477305539,-1.4978542846201146
F571-V1,13.59,83.9,-0.854230481632137,-1.6288841395304228
F574-1,0.47,15.3,-0.8712499428575631,-1.3141228986234812
F574-1,1.41,41.0,-0.4921863457729521,-0.984298702408357
F574-1,2.35,60.7,-0.3732254266782644,-1.010504434071495
F574-1,3.29,74.9,-0.3367672091080846,-1.1258405208632367
F574-1,4.22,83.0,-0.3556912127665693,-1.187880824299959
F574-1,5.17,86.8,-0.4049860392980019,-1.2210188246896294
F574-1,6.11,89.4,-0.4519011192077622,-1.2399135239486012
F574-1,7.05,92.5,-0.48444059807037676,-1.273665429883592
F574-1,7.99,94.7,-0.5183817678644879,-1.2904523868623348
F574-1,8.92,96.3,-0.5516472266840973,-1.3232533717564128
F574-1,9.87,97.8,-0.5821743896514772,-1.3269226453590477
F574-1,10.79,98.8,-0.6120425020646977,-1.3247375438960538
F574-1,11.8,99.5,-0.6447707923717177,-1.3269328405260008
F574-1,12.6,99.7,-0.6715151750512947,-1.3343073113612525
F574-2,2.17,12.6,-1.704253590170447,-1.7040171670191682
F574-2,4.32,23.0,-1.4805630213367698,-1.7111170070707957
F574-2,6.49,30.0,-1.4265371339180877,-1.4662460943433941
F574-2,8.65,36.0,-1.392946052487283,-1.44395560550383
F574-2,10.83,40.0,-1.3990434205264388,-1.4408618930744572
F579-V1,0.42,35.7,-0.08644780473055734,-1.129066721356679
F579-V1,1.47,83.3,0.10543772150835583,-0.8274986429734766
F579-V1,2.11,94.2,0.05528440373101874,-0.8241103284255784
F579-V1,2.84,97.6,-0.04295365127069728,-0.8647472387511007
F579-V1,3.9,101.0,-0.15095680601825734,-0.9306179451245598
F579-V1,4.74,105.0,-0.20193469009125217,-0.9220059233705694
F579-V1,5.69,106.0,-0.27303548242257397,-0.9283945076442887
F579-V1,6.32,108.0,-0.30240451386552886,-0.9442192849163132
F579-V1,7.37,110.0,-0.35321706409964465,-0.9675743977261687
F579-V1,8.21,112.0,-0.3844420583361209,-0.9963569283835713
F579-V1,9.16,113.0,-0.4242735332580542,-1.0177683595363087
F579-V1,10.85,114.0,-0.4901549820686464,-1.0741552133335814
F579-V1,12.21,114.0,-0.5414409078289806,-1.1434710649929214
F579-V1,15.16,114.0,-0.6354244451801329,-1.2561646888615903
F583-1,0.26,14.6,-0.6548025829589871,-1.884802283928935
F583-1,0.44,10.0,-1.2119876230432307,-1.6983060021602163
F583-1,0.77,10.7,-1.396258116359106,-1.5311224199492273
F583-1,0.89,17.4,-1.0368264566367567,-1.5064270390333223
F583-1,1.22,23.5,-0.9127590526883189,-1.4978396980900872
F583-1,1.55,31.0,-0.7761432570587894,-1.5551593020827512
F583-1,1.8,32.3,-0.8054024069981437,-1.6295183630535892
F583-1,2.21,40.9,-0.6894806042274703,-1.6845758892745395
F583-1,2.31,43.8,-0.6491987054409886,-1.690126442095292
F583-1,2.54,44.8,-0.6708126351806933,-1.7025352317435922
F583-1,3.1,51.7,-0.6329155542034309,-1.719636594360863
F583-1,3.43,55.7,-0.6121186762523559,-1.6944396585397985
F583-1,3.86,59.4,-0.6075493612664111,-1.6757241785759633
F583-1,4.09,62.0,-0.5954748755678773,-1.671359844822443
F583-1,4.37,63.0,-0.6103352846203017,-1.663944171298356
F583-1,4.76,66.6,-0.5991934409369343,-1.6537642022195562
F583-1,5.4,71.3,-0.5947496466762806,-1.6297586879772459
F583-1,5.86,72.3,-0.6181559679860723,-1.6133238078704788
F583-1,6.08,73.4,-0.6210464059976372,-1.608756292642582
F583-1,6.43,72.4,-0.6572687870869715,-1.5972327962369375
F583-1,6.97,77.1,-0.6376589685531386,-1.571070400725307
F583-1,7.96,80.3,-0.6600169237373504,-1.5336401212491118
F583-1,10.29,84.7,-0.7251835006580624,-1.4853139097991803
F583-1,15.49,86.9,-0.8805468114189163,-1.5266837657823364
F583-1,16.26,85.8,-0.9126809121176818,-1.5465993041745796
F583-4,0.22,10.7,-0.8521900720088302,-1.7110667543015485
F583-4,0.76,24.7,-0.6639546323185032,-1.2482100196269021
F583-4,1.31,38.9,-0.505907039561392,-1.1228740673276203
F583-4,1.94,42.7,-0.5954809264372216,-1.1204238650183236
F583-4,3.92,55.0,-0.6810956345890129,-1.2564764944426599
F583-4,4.35,57.2,-0.6922321459256322,-1.2918770238600643
F583-4,5.0,59.8,-0.7141025829162404,-1.3279337607585278
F583-4,5.05,62.5,-0.6800662899875541,-1.3318072721602807
F583-4,5.83,61.8,-0.7522265511384256,-1.3882810645553552
F583-4,6.09,64.4,-0.7353805044702942,-1.404374164726405
F583-4,6.74,67.2,-0.7424562969847126,-1.4101684943885973
F583-4,7.29,69.9,-0.742308123383655,-1.468405743197235
IC2574,0.85,10.3,-1.4722794228609914,-1.83534665359399
IC2574,1.14,12.9,-1.404260377295018,-1.7688314273597996
IC2574,1.42,16.4,-1.2911355948447039,-1.7362147518723792
IC2574,1.71,18.6,-1.2625051685133644,-1.6928982222773035
IC2574,1.99,19.8,-1.2740576424436876,-1.645013921188525
IC2574,2.28,26.1,-1.0931887788809351,-1.6437143770383231
IC2574,2.55,27.7,-1.0901155888621012,-1.6286401920819176
IC2574,2.84,29.7,-1.0763403879696563,-1.6329333130795225
IC2574,3.13,33.0,-1.0270514043477168,-1.6404891429354693
IC2574,3.41,34.8,-1.0181308376563791,-1.6527276142324474
IC2574,3.7,35.0,-1.048600581923487,-1.6932220217977634
IC2574,3.98,39.0,-0.9862888045777327,-1.734557896031118
IC2574,4.26,35.9,-1.087755648503124,-1.7356362613003888
IC2574,4.55,40.0,-1.0224263605582309,-1.6723003835170216
IC2574,4.84,38.7,-1.0779583781636328,-1.6168960226255364
IC2574,5.12,41.8,-1.0354523439828036,-1.595130423046329
IC2574,5.41,42.9,-1.0368176272941643,-1.5995855242532568
IC2574,5.68,44.4,-1.0281173420388225,-1.5867736684598612
IC2574,5.97,46.1,-1.017107426907116,-1.5819723140413477
IC2574,6.26,49.0,-0.9847171197104456,-1.5654472990368729
IC2574,6.54,51.9,-0.9537779791843949,-1.5503445906527915
IC2574,6.83,53.1,-0.9527666080756377,-1.5605925493721657
IC2574,7.1,54.0,-0.9550057756301815,-1.5644950681536995
IC2574,7.39,55.9,-0.9423557691790223,-1.57180271397876
IC2574,7.68,58.8,-0.9151415144362782,-1.5641520453626978
IC2574,7.96,57.3,-0.9531387703599324,-1.562185806609793
IC2574,8.25,54.0,-1.0202013754610313,-1.5644937850485556
IC2574,8.52,63.8,-0.8893331838814187,-1.5824022439138308
IC2574,8.81,60.5,-0.9500001056641535,-1.592556248895347
IC2574,9.1,61.0,-0.9569166688566028,-1.5987839131004848
IC2574,9.38,66.0,-0.9016499138523704,-1.5944049427594056
IC2574,9.67,65.2,-0.9254662291762046,-1.5758786880525604
IC2574,9.96,67.1,-0.9133492446427579,-1.5781672018268458
IC2574,10.23,67.5,-0.9198030346071536,-1.5674794258137208
IC4202,0.77,35.1,-0.364411438797877,0.6504581112209273
IC4202,1.59,77.9,0.013142844467634194,0.5859068268822221
IC4202,2.36,115.0,0.1799487311800736,0.43188055687835786
IC4202,3.13,156.0,0.32216991260543154,0.3093105815218714
IC4202,3.95,192.0,0.4014704152235957,0.23714133385717498
IC4202,4.73,204.0,0.3758642475569427,0.18756059612004708
