galaxy,R_kpc,Vobs_kms,log_gobs_a0,log_gbar_a0,g_obs_a0,g_bar_a0,upsilon_dyn,log_upsilon,gc_exact_a0,gc_dmond_a0,log_gc_exact,log_gc_dmond
NGC2915,9.03,84.7,-0.6684558762091352,-1.799278200960608,0.21455770927640794,0.015875294809779537,13.51519526706588,1.1308223247514728,2.686554178100409,2.899789336925006,0.4291956031450984,0.4623664485423377
NGC2915,9.37,86.1,-0.6702682345375119,-1.8132108601969792,0.2136642021589659,0.015374080112750169,13.897690176712947,1.1429426256594672,2.757055497514372,2.9694388834598695,0.4404455082246236,0.47267439112195525
NGC2915,9.7,85.3,-0.6934086184882421,-1.8227760593808608,0.20257758129814427,0.015039172495850767,13.469995197809881,1.1293674408926189,2.527394357559175,2.728719047269944,0.4026730115872886,0.4359588224043766
NGC2915,10.04,86.5,-0.6962364444364153,-1.841681111250664,0.20126282094402742,0.014398554306609326,13.977988113128992,1.1454446668142486,2.613186046859717,2.813249318770424,0.4171703306030312,0.44920822237783326
NGC1705,3.78,71.4,-0.4386303228419198,-1.455229451897989,0.364224937255368,0.035056660927614024,10.389607213517278,1.0165991290560692,3.422848991178081,3.784154035451249,0.5343877394111074,0.5779688062141494
NGC1705,4.22,71.5,-0.4852353139165559,-1.5380006413798146,0.3271633798082281,0.02897339308815916,11.291855904234191,1.0527653274632587,3.3695317738574784,3.694281741936754,0.5275695560173842,0.5675300135467027
NGC1705,4.66,71.5,-0.5283087796448822,-1.6086243200136645,0.2962724169078804,0.02462496829367903,12.031382675279644,1.0803155403687823,3.2703457153774234,3.5645668239487005,0.5145936653038673,0.5520067607239001
NGC1705,5.11,71.3,-0.5707767869880249,-1.6699069982714634,0.26867249787073044,0.021384199711223927,12.564066062744088,1.0991302112834385,3.1087279185260357,3.3756190124903274,0.49258271347015853,0.5283534242954135
NGC1705,5.56,71.8,-0.6013608496545001,-1.727477443320024,0.2504027824180685,0.01872934358220395,13.36954396287511,1.1261165936655237,3.098928532638813,3.3477710079646172,0.4912115606734572,0.5247557440110238
NGC1705,6.0,71.5,-0.6380741133385257,-1.7514844913415188,0.23010491046512044,0.017722113296820816,12.984055942492995,1.1134103780029931,2.759066488247052,2.9876950301214653,0.44076216627508297,0.4753362646644674
NGC3741,3.26,41.5,-0.8456563532007969,-1.870455625748316,0.14267360890891043,0.013475484047297011,10.587642596595906,1.0247992725475192,1.3690259747349673,1.510577179094045,0.13641168814644397,0.17914291934672222
NGC3741,3.73,42.7,-0.8793880283156831,-1.9091487499944948,0.13201156257628557,0.012326825554057006,10.709291049619658,1.0297607216788118,1.2827654250546117,1.4137502455445206,0.10814724568238121,0.15037269336312875
NGC3741,4.21,44.7,-0.8922019961288385,-1.92091877225152,0.12817342923609693,0.011997236710470245,10.683579254899358,1.0287167761226814,1.2421768474902486,1.3693509896160758,0.09418343031853806,0.1365147799938428
NGC3741,4.67,46.7,-0.8992180659909311,-1.9443643064081104,0.12611941104665608,0.01136673391292665,11.095483717026987,1.0451462404171794,1.274183266096652,1.399355871669206,0.10523189717546354,0.14592817442624825
NGC3741,5.14,48.5,-0.9080145883477916,-1.9702674624876413,0.12359059175401263,0.010708596077290054,11.541250679546483,1.0622528741398496,1.3036914259341512,1.4263900010665502,0.11517480928498958,0.15423828579205812
NGC3741,5.61,50.0,-0.9195577991411672,-2.0103912049498973,0.12034892098334654,0.009763573389378576,12.326319082547135,1.0908334058087301,1.3639236202794054,1.4834592012809817,0.13479005051110354,0.17127560666756297
NGC3741,6.07,50.2,-0.9503162033422622,-2.052349611297992,0.11212018267042081,0.008864421301663684,12.648336406278204,1.10203340795573,1.3067520569698758,1.4181337883488463,0.11619319239707987,0.15171720461346785
NGC3741,6.54,50.1,-0.9844372431468192,-2.098995416265867,0.10364843687052404,0.007961677534760738,13.018416837154515,1.114558173119048,1.2463533800984814,1.349338555699977,0.09564119582861981,0.1301209299722286
NGC3741,7.0,51.6,-0.9883335833168774,-2.142895006572811,0.10272269779026755,0.0071962293035307285,14.27451703628567,1.1545614232559336,1.3641937294690436,1.4663168996203986,0.1348760489605217,0.16622783993905624
